               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                  81,            0.028044,           0.0079323,           0.0075221,             0.95739,                   1,              0.9902,             0.70239,            0.027027,           0.0060145,           0.0044805,             0.00604,             0.00604,             0.00604
                  82,            0.031567,           0.0082286,           0.0070038,             0.98816,                   1,               0.995,             0.73787,            0.021749,           0.0056071,           0.0043568,           0.0059905,           0.0059905,           0.0059905
                  83,            0.028268,           0.0077561,           0.0064709,             0.89211,                   1,             0.97826,             0.65858,            0.025668,           0.0059155,            0.004222,            0.005941,            0.005941,            0.005941
                  84,            0.030297,           0.0077889,           0.0070616,             0.98184,                   1,               0.995,             0.73474,            0.022475,           0.0057594,           0.0042772,           0.0058915,           0.0058915,           0.0058915
                  85,            0.027448,           0.0080758,           0.0075545,             0.96761,             0.98054,             0.99219,             0.77302,            0.021153,            0.005623,           0.0044201,            0.005842,            0.005842,            0.005842
                  86,            0.028236,           0.0072831,           0.0082863,             0.98652,             0.99252,               0.995,             0.71021,            0.023355,           0.0055549,           0.0045963,           0.0057925,           0.0057925,           0.0057925
                  87,            0.029176,           0.0077091,           0.0068179,               0.981,             0.99813,               0.995,              0.7419,             0.02277,           0.0055032,           0.0050837,            0.005743,            0.005743,            0.005743
                  88,            0.027315,           0.0081942,           0.0073874,             0.95212,             0.97555,              0.9857,             0.74995,            0.019462,           0.0053834,           0.0048581,           0.0056935,           0.0056935,           0.0056935
                  89,            0.029951,           0.0075344,             0.00768,             0.97456,                   1,               0.995,             0.72871,            0.020298,           0.0054084,           0.0050614,            0.005644,            0.005644,            0.005644
                  90,            0.027045,           0.0075379,           0.0074982,             0.97305,                   1,               0.995,             0.67776,            0.024757,           0.0054554,           0.0047136,           0.0055945,           0.0055945,           0.0055945
                  91,            0.027386,           0.0077764,           0.0086793,             0.96668,             0.98958,             0.99162,             0.75258,            0.022522,           0.0055202,           0.0048505,            0.005545,            0.005545,            0.005545
                  92,            0.026412,           0.0072408,            0.007392,             0.98654,                   1,               0.995,             0.73963,            0.021446,            0.005405,           0.0045043,           0.0054955,           0.0054955,           0.0054955
